date,count
2019/5/15 16:15,99.38
2019/5/15 16:20,99.4
2019/5/15 16:25,99.27
2019/5/15 16:30,99.23
2019/5/15 16:35,99.32
2019/5/15 16:40,99.4
2019/5/15 16:45,99.06
2019/5/15 16:50,99.24
2019/5/15 16:55,99.26
2019/5/15 17:00,99.29
2019/5/15 17:06,99.29
2019/5/15 17:10,99.27
2019/5/15 17:15,99.3
2019/5/15 17:20,99.33
2019/5/15 17:25,99.35
2019/5/16 9:15,99.33
2019/5/16 9:20,99.41
2019/5/16 9:25,99.32
2019/5/16 9:30,99.35
2019/5/16 9:35,99.23
2019/5/16 9:40,99.41
2019/5/16 9:45,99.23
2019/5/16 9:50,99.27
2019/5/16 9:55,99.3
2019/5/16 10:00,99.3
2019/5/16 10:05,99.23
2019/5/16 10:10,99.3
2019/5/16 10:15,99.21
2019/5/16 10:20,99.24
2019/5/16 10:25,99.4
2019/5/16 10:30,99.26
2019/5/16 10:35,99.24
2019/5/16 10:40,99.35
2019/5/16 10:45,99.16
2019/5/16 10:50,99.24
2019/5/16 10:55,99.29
2019/5/16 11:00,99.4
2019/5/16 11:05,99.26
2019/5/16 11:10,99.32
2019/5/16 11:15,99.26
2019/5/16 11:20,99.32
2019/5/16 11:25,99.46
2019/5/16 11:30,99.41
2019/5/16 11:35,99.3
2019/5/16 11:40,99.33
2019/5/16 11:45,99.27
2019/5/16 11:50,99.32
2019/5/16 11:55,99.35
2019/5/16 12:00,99.38
2019/5/16 12:05,99.18
2019/5/16 12:10,99.26
2019/5/16 12:15,99.21
2019/5/16 12:20,99.35
2019/5/16 12:25,99.3
2019/5/16 12:30,99.35
2019/5/16 12:35,99.26
2019/5/16 12:40,99.29
2019/5/16 12:45,99.3
2019/5/16 12:50,99.33
2019/5/16 12:55,99.33
2019/5/16 13:00,99.3
2019/5/16 13:05,99.26
2019/5/16 13:10,99.35
2019/5/16 13:15,99.29
2019/5/16 13:20,99.21
2019/5/16 13:25,99.33
2019/5/16 13:30,99.24
2019/5/16 13:35,99.38
2019/5/16 13:40,99.33
2019/5/16 13:45,99.3
2019/5/16 13:50,99.26
2019/5/16 13:55,99.4
2019/5/16 14:00,99.32
2019/5/16 14:05,99.18
2019/5/16 14:10,99.24
2019/5/16 14:15,99.23
2019/5/16 14:20,99.35
2019/5/16 14:25,99.41
2019/5/16 14:30,99.37
2019/5/16 14:35,99.32
2019/5/16 14:40,99.23
2019/5/16 14:45,99.29
2019/5/16 14:50,99.29
2019/5/16 14:55,99.06
2019/5/16 15:00,99.38
2019/5/16 15:05,99.3
2019/5/16 15:10,99.21
2019/5/16 15:15,99.32
2019/5/16 15:20,99.26
2019/5/16 15:25,99.33
2019/5/16 15:30,99.27
2019/5/16 15:35,99.38
2019/5/16 15:40,99.32
2019/5/16 15:45,99.38
2019/5/16 15:50,99.27
2019/5/16 15:55,99.35
2019/5/16 16:00,99.33
2019/5/16 16:05,99.41
2019/5/16 16:10,99.2
2019/5/16 16:15,99.3
2019/5/16 16:20,99.26
2019/5/16 16:25,99.27
2019/5/16 16:30,99.33
2019/5/16 16:35,99.27
2019/5/16 16:40,99.37
2019/5/16 16:45,99.32
2019/5/16 16:50,99.32
2019/5/16 16:55,99.26
2019/5/16 17:00,99.29
